"precinct","oblast","places","noplaces","type","size","ukrainian","district14par","registered14par","voted14parl","oppblock14par","porosh14par","r14parl","turnout14parl","registered14pres","voted14pres","turnout14pres","r14pres","Poroshenko","district","registered12","voted12","turnout12","r12","roads","rlon","rlat","quality.ent","quality","quality.UKR","distrussia","Raion","dist_regional","distkiev","donetsk","qualityq"
590894,"Сумська"," СУМИ",1,"city",3,77.44,157,2380,1347,0.0460282108389013,0.253155159613957,10.8389012620638,0.565966386554622,2351,1573,0.669076988515525,6.29370629370629,996,157,2304,1362,0.591145833333333,24.5961820851689,29.1092063490044,34.774258,50.885464,0.0446387732674871,43.576160631358,0.941396778640681,3.51152419006698,"Sums",1.18178395944139,5.71710781489833,387.157589998624,0.125100238050303
590895,"Сумська"," СУМИ",1,"city",3,77.44,157,2176,1100,0.0345454545454545,0.255454545454545,9.54545454545454,0.505514705882353,2168,1382,0.637453874538745,5.57163531114327,853,157,2162,1202,0.555966697502313,23.2113144758735,26.7389394073432,34.774366,50.885136,0.0450189912651496,43.8335637012759,0.94098614746394,3.51259201967942,"Sums",1.18625929191313,5.71711699719705,387.123550813461,0.127470999512439
590926,"Сумська"," СУМИ",1,"city",2,77.44,157,692,384,0.0390625,0.247395833333333,9.11458333333333,0.554913294797688,683,445,0.651537335285505,4.04494382022472,279,157,639,378,0.591549295774648,23.015873015873,81.4847465163581,34.834159,50.914222,0.0281903907370145,41.6561216652153,0.974669421960719,3.4071053497901,"Sums",1.29866655823116,5.73213901235599,387.325231372155,0.108585607592439
590927,"Сумська"," СУМИ",1,"city",3,77.44,157,2424,1322,0.0219364599092284,0.284417549167927,6.732223903177,0.545379537953795,2398,1572,0.655546288573811,5.15267175572519,1006,157,2413,1324,0.548694571073353,20.8459214501511,84.0944129922497,34.831507,50.912697,0.0286919149809659,41.6163461437712,0.974341705168212,3.41251672002965,"Sums",1.21724405564334,5.73146463339614,387.293219360047,0.108264639745246
590928,"Сумська"," СУМИ",1,"city",3,77.44,157,2392,1393,0.0416367552045944,0.29791816223977,11.4142139267767,0.582357859531773,2375,1660,0.698947368421053,8.07228915662651,1005,157,2425,1465,0.604123711340206,22.6621160409556,83.5232780015214,34.831762,50.912487,0.0285665059298677,41.5651155619734,0.974031568736243,3.41330302878506,"Sums",1.22379516003912,5.73151183548182,387.263795513747,0.107852464016255
590929,"Сумська"," СУМИ",1,"city",3,77.44,157,2240,1311,0.0350877192982456,0.277650648360031,7.47520976353928,0.585267857142857,2235,1518,0.679194630872483,5.66534914361001,910,157,2289,1373,0.599825251201398,20.3932993445011,84.1278866196806,34.831852,50.913103,0.0281973749555961,41.3807886806339,0.974594430726112,3.41105021092665,"Sums",1.22910587565733,5.73156266479442,387.316291245474,0.106380855729104
590930,"Сумська"," СУМИ",1,"city",3,77.44,157,2356,1290,0.0224806201550388,0.27906976744186,5.81395348837209,0.547538200339559,2329,1539,0.660798626019751,4.48343079922027,969,157,2335,1327,0.56830835117773,18.914845516202,82.9371664547143,34.826423,50.917355,0.0281865199400396,41.3688886606621,0.980712376283801,3.39502457763796,"Sums",1.09605652005238,5.73054829767331,387.922769157826,0.106286460166188
590931,"Сумська"," СУМИ",1,"city",3,77.44,157,2440,1311,0.0327993897787948,0.304347826086957,8.69565217391304,0.537295081967213,2423,1578,0.651258770119686,6.97084917617237,962,157,2427,1364,0.562010712814174,21.7008797653959,83.597022439233,34.825903,50.917061,0.0278685720192678,41.3533532765144,0.980646474295851,3.39610182758097,"Sums",1.07625022697052,5.73041600506369,387.916970641098,0.106163338560273
590932,"Сумська"," СУМИ",1,"city",3,77.44,157,2132,1213,0.0362737015663644,0.291838417147568,8.82110469909316,0.568949343339587,2094,1436,0.685768863419293,5.98885793871866,908,157,2143,1300,0.606626224918339,21.6153846153846,85.9196248145598,34.826299,50.916833,0.0279632584702262,41.2418429922516,0.980288980769872,3.39696579064025,"Sums",1.08657709236898,5.73049406635899,387.880216808082,0.105283277168452
590933,"Сумська"," СУМИ",1,"city",3,77.44,157,2480,1369,0.0365230094959825,0.269539810080351,9.56902848794741,0.552016129032258,2457,1598,0.65038665038665,7.50938673341677,965,157,2430,1398,0.575308641975309,26.1087267525036,84.1147087256228,34.829002,50.909361,0.0325098750940271,44.1741223315941,0.971935076550332,3.42452909126996,"Sums",1.12967829267556,5.73073396459314,387.090533449151,0.130666508388215
